375,609,conifer,c4_6,323062.74209709256,185898.30786057046,auto
129,1273,deciduous,d9_6,323021.67520462855,185787.5965989278,auto
194,1339,deciduous,d9_6,323032.4711402763,185776.58897826733,auto
209,1350,deciduous,d9_6,323035.0113604287,185774.89549816574,auto
250,2925,deciduous,d9_6,323041.7852808351,185512.40608241636,auto
361,2867,deciduous,d9_6,323060.4135619528,185521.93190798792,auto
562,2645,deciduous,d9_6,323093.8597939596,185558.9767852106,auto
687,2537,deciduous,d9_6,323114.6049252043,185576.9700112902,auto
749,2480,deciduous,d9_6,323124.9774908267,185586.49583686175,auto
970,2286,deciduous,d9_6,323161.8106830367,185618.88364380502,auto
1263,2020,deciduous,d9_6,323210.7099209706,185663.12581145955,auto
1394,1921,deciduous,d9_6,323232.5134772788,185679.63724245023,auto
1571,1785,deciduous,d9_6,323261.93769404426,185702.28753880927,auto
1690,1930,deciduous,d9_6,323281.8360852382,185678.15544736132,auto
1788,2057,deciduous,d9_6,323298.1358312162,185656.98694609123,auto
1884,2178,deciduous,d9_6,323314.2238921815,185636.8768698846,auto
2027,2570,deciduous,d9_6,323337.932613604,185571.46620095999,auto
2005,2580,deciduous,d9_6,323334.33396838803,185569.77272085837,auto
1917,2668,deciduous,d9_6,323319.7277025117,185555.16645498198,auto
1801,2773,deciduous,d9_6,323300.2526813432,185537.5965989278,auto
1708,2860,deciduous,d9_6,323284.799675416,185523.20201806413,auto
1390,3113,deciduous,d9_6,323231.8784222407,185481.07670053662,auto
1197,3247,deciduous,d9_6,323199.70230031013,185458.6380891903,auto
1002,3273,deciduous,d9_6,323167.1028083542,185454.40438893627,auto
850,3396,deciduous,d9_6,323141.91229184275,185433.87094270426,auto
679,3402,deciduous,d9_6,323113.3348151281,185432.81251764076,auto
654,3408,deciduous,d9_6,323109.10111487407,185431.75409257726,auto
558,3458,deciduous,d9_6,323093.2247389215,185423.4983770819,auto
495,3538,deciduous,d9_6,323082.64048828644,185410.16222128173,auto
546,3575,deciduous,d9_6,323091.1078887945,185404.0233559134,auto
570,3624,deciduous,d9_6,323095.1299040358,185395.76764041805,auto
570,3624,deciduous,d9_6,323095.1299040358,185395.76764041805,auto
252,3689,deciduous,d9_6,323042.2086508605,185384.97170477032,auto
168,3807,deciduous,d9_6,323028.2374400223,185365.2849985891,auto
91,3955,deciduous,d9_6,323015.3246542475,185340.72953711578,auto
308,3941,deciduous,d9_6,323051.5227914194,185343.0580722555,auto
308,3941,deciduous,d9_6,323051.5227914194,185343.0580722555,auto
640,4303,deciduous,d9_6,323106.7725797344,185282.7278436357,auto
707,4338,deciduous,d9_6,323117.99188540754,185276.80066328004,auto
872,4522,deciduous,d9_6,323145.51093705866,185246.1063364384,auto
1313,4094,deciduous,d9_6,323218.965636466,185317.44418571866,auto
1393,4092,deciduous,d9_6,323232.30179226614,185317.86755574404,auto
1505,3552,deciduous,d9_6,323250.93007338385,185407.83368614202,auto
2446,3676,deciduous,d9_6,323407.78866779536,185387.08855489732,auto
2664,3953,deciduous,d9_6,323444.19848997996,185340.9412221285,auto
2748,3628,deciduous,d9_6,323458.1697008182,185395.13258537996,auto
3022,3591,deciduous,d9_6,323503.89366356167,185401.2714507483,auto
3106,3538,deciduous,d9_6,323517.8648743999,185410.16222128173,auto
2734,4022,deciduous,d9_6,323455.8411656785,185329.51023144263,auto
2804,4075,deciduous,d9_6,323467.4838413771,185320.61946090916,auto
2897,4111,deciduous,d9_6,323482.9368473042,185314.69228055354,auto
2998,4154,deciduous,d9_6,323499.87164832035,185307.49499012172,auto
3087,4195,deciduous,d9_6,323514.6895992094,185300.72106971528,auto
3106,4218,deciduous,d9_6,323517.8648743999,185296.91073948666,auto
3214,4132,deciduous,d9_6,323535.8581004795,185311.09363533763,auto
3236,4075,deciduous,d9_6,323539.45674569544,185320.61946090916,auto
3290,3998,deciduous,d9_6,323548.5592012416,185333.53224668393,auto
3342,3933,deciduous,d9_6,323557.2382867623,185344.3281823317,auto
3435,3871,deciduous,d9_6,323572.6912926895,185354.70074795405,auto
3538,3847,deciduous,d9_6,323589.83777871827,185358.72276319537,auto
3723,3777,deciduous,d9_6,323620.7437905726,185370.36543889393,auto
3839,3707,deciduous,d9_6,323640.0071267285,185382.0081145925,auto
3756,3652,deciduous,d9_6,323626.24760090286,185391.11057013864,auto
3679,3619,deciduous,d9_6,323613.3348151281,185396.61438046888,auto
3624,3566,deciduous,d9_6,323604.232359582,185405.50515100232,auto
3580,3510,deciduous,d9_6,323596.8233841374,185414.81929156117,auto
3744,3593,deciduous,d9_6,323624.13075077586,185401.05976573558,auto
3833,3475,deciduous,d9_6,323638.9487016649,185420.7464719168,auto
3755,3407,deciduous,d9_6,323626.0359158902,185431.96577758994,auto
3704,3337,deciduous,d9_6,323617.5685153821,185443.6084532885,auto
3633,3241,deciduous,d9_6,323605.7141546709,185459.6965142538,auto
3603,3151,deciduous,d9_6,323600.63371436606,185474.72615015556,auto
3522,3013,deciduous,d9_6,323587.0858735532,185497.5881315273,auto
3478,2922,deciduous,d9_6,323579.88858312136,185512.82945244177,auto
3435,2841,deciduous,d9_6,323572.6912926895,185526.37729325466,auto
3572,2880,deciduous,d9_6,323595.55327406124,185519.81505786092,auto
3459,2756,deciduous,d9_6,323576.7133079308,185540.56018910563,auto
3462,2660,deciduous,d9_6,323577.1366779562,185556.4365650582,auto
3457,2577,deciduous,d9_6,323576.28993790544,185570.40777589648,auto
3499,2489,deciduous,d9_6,323583.27554332453,185585.01404177284,auto
3488,2480,deciduous,d9_6,323581.58206322294,185586.49583686175,auto
3497,2425,deciduous,d9_6,323583.06385831186,185595.5982924079,auto
3572,2314,deciduous,d9_6,323595.55327406124,185614.2265735256,auto
3629,2279,deciduous,deciduous,323605.1160152814,185619.78118839866,manual
3649,2180,deciduous,d9_6,323608.2543748233,185636.45349985923,auto
3720,2157,deciduous,d9_6,323620.10873553454,185640.26383008785,auto
3721,2157,deciduous,d9_6,323620.3204205473,185640.26383008785,auto
2770,3049,deciduous,d9_6,323461.7683460341,185491.66095117165,auto
2696,2997,deciduous,d9_6,323449.49061529746,185500.34003669242,auto
2583,2930,deciduous,d9_6,323430.6506491671,185511.55934236557,auto
2523,2876,deciduous,d9_6,323420.7014535701,185520.450112899,auto
2422,2767,deciduous,d9_6,323403.76665255404,185538.6550239913,auto
2359,2730,deciduous,d9_6,323393.39408693166,185544.79388935963,auto
2290,2663,deciduous,d9_6,323381.7514112331,185556.0131950328,auto
2223,2613,deciduous,d9_6,323370.7437905726,185564.26891052813,auto
2542,1644,deciduous,d9_6,323423.8767287606,185725.7845752191,auto
2658,985,deciduous,d9_6,323443.1400649164,185835.64909681096,auto
2474,553,deciduous,d9_6,323412.4457380748,185907.62200112932,auto
2423,494,deciduous,d9_6,323403.9783375667,185917.5711967263,auto
2528,505,deciduous,d9_6,323421.5481936209,185915.66603161197,auto
3066,777,deciduous,d9_6,323511.0909539935,185870.36543889393,auto
3560,557,deciduous,d9_6,323593.4364239342,185906.98694609123,auto
3715,504,deciduous,d9_6,323619.2619954838,185915.87771662467,auto
2942,288,deciduous,d9_6,323490.55750776146,185951.86416878385,auto
2719,495,deciduous,d9_6,323453.3009455261,185917.35951171358,auto
4507,1404,deciduous,d9_6,323751.35344340926,185765.7930426196,auto
4417,1670,deciduous,d9_6,323736.32380750746,185721.55087496506,auto
4677,1585,deciduous,d9_6,323779.7192351112,185735.73377081603,auto
4766,1383,deciduous,d9_6,323794.53718600026,185769.3916878355,auto
4972,1135,deciduous,d9_6,323828.83015805786,185810.67026531222,auto
4972,1135,deciduous,d9_6,323828.83015805786,185810.67026531222,auto
4958,1102,deciduous,d9_6,323826.5016229181,185816.17407564246,auto
4936,989,deciduous,d9_6,323822.9029777022,185835.01404177284,auto
5002,957,deciduous,d9_6,323833.9105983627,185840.30616709037,auto
5102,958,deciduous,d9_6,323850.4220293533,185840.09448207766,auto
5127,820,deciduous,d9_6,323854.6557296074,185863.1681484621,auto
5107,750,deciduous,d9_6,323851.26876940415,185874.81082416067,auto
5107,750,deciduous,d9_6,323851.26876940415,185874.81082416067,auto
5062,605,deciduous,d9_6,323843.8597939596,185898.94291560858,auto
5058,523,deciduous,d9_6,323843.2247389215,185912.70244143414,auto
5137,917,deciduous,d9_6,323856.349209709,185847.0800874968,auto
5118,1026,deciduous,d9_6,323853.1739345185,185828.87517640452,auto
5112,1284,deciduous,d9_6,323852.115509455,185785.9031188262,auto
5460,134,deciduous,d9_6,323910.11720293504,185977.47805532068,auto
5483,130,deciduous,d9_6,323913.9275331637,185978.1131103588,auto
5490,158,deciduous,d9_6,323915.19764323987,185973.45604007936,auto
5592,171,deciduous,d9_6,323932.132444256,185971.33918995236,auto
5678,215,deciduous,d9_6,323946.52702511963,185963.93021450783,auto
5678,215,deciduous,d9_6,323946.52702511963,185963.93021450783,auto
5810,248,deciduous,d9_6,323968.5422664406,185958.4264041776,auto
5895,422,deciduous,d9_6,323982.72516229155,185929.42555743753,auto
5545,1771,deciduous,d9_6,323924.300098786,185704.61607394897,auto
5611,1809,deciduous,d9_6,323935.3077194465,185698.26552356794,auto
5658,1826,deciduous,d9_6,323943.14006491646,185695.51361840282,auto
4844,1789,deciduous,d9_6,323807.449971775,185701.65248377115,auto
4907,1889,deciduous,d9_6,323818.03422241006,185684.92936776776,auto
5001,2075,deciduous,d9_6,323833.69891334994,185654.0233559134,auto
5030,2110,deciduous,d9_6,323838.5676686421,185648.0961755578,auto
4933,2335,deciduous,d9_6,323822.2679226641,185610.6279283097,auto
4820,2377,deciduous,d9_6,323803.4279565337,185603.64232289055,auto
4780,2433,deciduous,d9_6,323796.86572113994,185594.3281823317,auto
4686,2464,deciduous,deciduous,323781.2551616289,185589.21973203603,manual
4931,2465,deciduous,d9_6,323822.0562376514,185589.03605701416,auto
5165,2331,deciduous,d9_6,323861.0062799884,185611.26298334778,auto
5196,2509,deciduous,d9_6,323866.0867202932,185581.62708156963,auto
5579,2490,deciduous,d9_6,323930.015594129,185584.80235676013,auto
5615,2603,deciduous,d9_6,323935.9427744846,185565.96239062975,auto
5621,2612,deciduous,d9_6,323937.0011995481,185564.48059554084,auto
5639,2677,deciduous,d9_6,323939.9647897259,185553.68465989307,auto
5665,2756,deciduous,d9_6,323944.41017499263,185540.56018910563,auto
5381,2116,deciduous,d9_6,323896.99273214757,185647.24943550696,auto
5381,2116,deciduous,d9_6,323896.99273214757,185647.24943550696,auto
5323,2149,deciduous,d9_6,323887.25522156333,185641.74562517673,auto
5306,2048,deciduous,d9_6,323884.50331639824,185658.46874118014,auto
5292,1941,deciduous,d9_6,323882.1747812585,185676.25028224703,auto
5268,1872,deciduous,d9_6,323878.1527660172,185687.8929579456,auto
5267,1801,deciduous,d9_6,323877.9410810045,185699.74731865685,auto
5215,1785,deciduous,d9_6,323869.2619954838,185702.28753880927,auto
