1978,1095,conifer,c4_6,369418.70304,474768.2104,auto
205,2334,deciduous,d13_6,369043.3944,474505.93888,auto
375,2499,deciduous,d13_6,369079.38,474471.01168,auto
371,2579,deciduous,d13_6,369078.53328,474454.07728,auto
223,2740,deciduous,d13_6,369047.20464,474419.9968,auto
618,2681,deciduous,d13_6,369130.81824,474432.48592,auto
734,2512,deciduous,d13_6,369155.37312,474468.25984,auto
782,2529,deciduous,d13_6,369165.53376,474464.66128,auto
803,2450,deciduous,d13_6,369169.97904,474481.384,auto
748,2599,deciduous,d13_6,369158.33664,474449.84368,auto
642,2946,deciduous,d13_6,369135.89856,474376.39072,auto
198,3288,deciduous,d13_6,369041.91264,474303.99616,auto
105,3479,deciduous,d13_6,369022.2264,474263.56528,auto
236,3475,deciduous,d13_6,369049.95648,474264.412,auto
254,3413,deciduous,d13_6,369053.76672,474277.53616,auto
302,3385,deciduous,d13_6,369063.92736,474283.4632,auto
528,3433,deciduous,d13_6,369111.76704,474273.30256,auto
514,3503,deciduous,d13_6,369108.80352,474258.48496,auto
894,3387,deciduous,d13_6,369189.24192,474283.03984,auto
1005,3550,deciduous,d13_6,369212.7384,474248.536,auto
1006,3157,deciduous,d13_6,369212.95008,474331.72624,auto
1006,3157,deciduous,d13_6,369212.95008,474331.72624,auto
318,3816,deciduous,d13_6,369067.31424,474192.22912,auto
365,3845,deciduous,d13_6,369077.2632,474186.0904,auto
85,4154,deciduous,d13_6,369017.9928,474120.68128,auto
110,4222,deciduous,d13_6,369023.2848,474106.28704,auto
168,4236,deciduous,d13_6,369035.56224,474103.32352,auto
236,4280,deciduous,d13_6,369049.95648,474094.0096,auto
270,4357,deciduous,d13_6,369057.1536,474077.71024,auto
318,4421,deciduous,d13_6,369067.31424,474064.16272,auto
382,4409,deciduous,d13_6,369080.86176,474066.70288,auto
416,4037,deciduous,d13_6,369088.05888,474145.44784,auto
467,4505,deciduous,d13_6,369098.85456,474046.3816,auto
467,4505,deciduous,d13_6,369098.85456,474046.3816,auto
641,4604,deciduous,d13_6,369135.68688,474025.42528,auto
743,4526,deciduous,d13_6,369157.27824,474041.93632,auto
814,4579,deciduous,d13_6,369172.30752,474030.71728,auto
866,4656,deciduous,d13_6,369183.31488,474014.41792,auto
866,4656,deciduous,d13_6,369183.31488,474014.41792,auto
929,4578,deciduous,d13_6,369196.65072,474030.92896,auto
908,4417,deciduous,d13_6,369192.20544,474065.00944,auto
990,4419,deciduous,d13_6,369209.5632,474064.58608,auto
848,4297,deciduous,d13_6,369179.50464,474090.41104,auto
1265,4176,deciduous,d13_6,369267.7752,474116.02432,auto
1383,4581,deciduous,d13_6,369292.75344,474030.29392,auto
3327,4025,deciduous,d13_6,369704.25936,474147.988,auto
3512,4086,deciduous,d13_6,369743.42016,474135.07552,auto
3439,3862,deciduous,d13_6,369727.96752,474182.49184,auto
4541,4331,deciduous,d13_6,369961.23888,474083.21392,auto
3488,3523,deciduous,d13_6,369738.33984,474254.25136,auto
2967,3488,deciduous,d13_6,369628.05456,474261.66016,auto
3492,3446,deciduous,d13_6,369739.18656,474270.55072,auto
3549,3425,deciduous,d13_6,369751.25232,474274.996,auto
3560,3483,deciduous,d13_6,369753.5808,474262.71856,auto
4270,2968,deciduous,d13_6,369903.8736,474371.73376,auto
4296,2911,deciduous,d13_6,369909.37728,474383.79952,auto
4332,2834,deciduous,d13_6,369916.99776,474400.09888,auto
4335,2750,deciduous,d13_6,369917.6328,474417.88,auto
4156,2635,deciduous,d13_6,369879.74208,474442.2232,auto
3141,2075,deciduous,deciduous,369664.9587457836,474560.5592737576,manual
3891,1630,deciduous,d13_6,369823.64688,474654.9616,auto
4055,1638,deciduous,d13_6,369858.3624,474653.26816,auto
2796,1764,deciduous,d13_6,369591.85728,474626.59648,auto
2796,1764,deciduous,d13_6,369591.85728,474626.59648,auto
2704,1629,deciduous,d13_6,369572.38272,474655.17328,auto
