4638,1407,conifer,c4_6,405773.15699971747,491765.3696725942,auto
410,1682,deciduous,d13_6,405068.4575924355,491719.43402483803,auto
756,1342,deciduous,d13_6,405126.24760090286,491776.1656082419,auto
1108,1987,deciduous,d13_6,405184.8843494211,491668.62962178973,auto
1167,2008,deciduous,d13_6,405194.6218600053,491665.24266158656,auto
2338,1947,deciduous,d13_6,405389.79544171575,491675.4035421962,auto
2660,1649,deciduous,d13_6,405443.5634349418,491724.93783516827,auto
2745,1567,deciduous,d13_6,405457.7463307928,491738.6973609938,auto
2972,1616,deciduous,d13_6,405495.4262630536,491730.4416454985,auto
3389,1249,deciduous,d13_6,405565.07063223224,491791.61861416907,auto
3496,1243,deciduous,d13_6,405582.8521732992,491792.67703923257,auto
2885,1592,deciduous,d13_6,405481.0316821899,491734.46366073977,auto
3654,1218,deciduous,d13_6,405609.10111487407,491796.91073948663,auto
3574,1270,deciduous,d13_6,405595.7649590739,491788.2316539659,auto
3792,1304,deciduous,d13_6,405632.1747812585,491782.5161586229,auto
3731,1262,deciduous,d13_6,405622.01390064886,491789.50176404207,auto
3247,1139,deciduous,d13_6,405541.36191080976,491810.0352102741,auto
3247,1139,deciduous,d13_6,405541.36191080976,491810.0352102741,auto
3355,1130,deciduous,d13_6,405559.3551368893,491811.517005363,auto
3247,1139,deciduous,d13_6,405541.36191080976,491810.0352102741,auto
3217,1040,deciduous,d13_6,405536.28147050494,491826.54664126475,auto
3154,1116,deciduous,d13_6,405525.90890488256,491813.8455405027,auto
3154,1116,deciduous,d13_6,405525.90890488256,491813.8455405027,auto
3154,1035,deciduous,d13_6,405525.90890488256,491827.3933813156,auto
3095,1041,deciduous,d13_6,405515.9597092856,491826.3349562521,auto
3148,955,deciduous,d13_6,405524.85047981906,491840.7295371157,auto
3016,843,deciduous,d13_6,405502.8352384981,491859.35781823343,auto
2918,773,deciduous,d13_6,405486.53549252014,491871.000493932,auto
2912,844,deciduous,d13_6,405485.47706745664,491859.14613322075,auto
3027,915,deciduous,d13_6,405504.74040361244,491847.29177250946,auto
2812,881,deciduous,d13_6,405468.75395145325,491853.00726785243,auto
3027,915,deciduous,d13_6,405504.74040361244,491847.29177250946,auto
3020,1004,deciduous,d13_6,405503.47029353626,491832.4738216204,auto
1994,654,deciduous,d13_6,405332.42880327377,491890.89888512593,auto
2002,524,deciduous,d13_6,405333.9105983627,491912.4907564214,auto
429,518,deciduous,d13_6,405071.632867626,491913.5491814849,auto
4389,1441,deciduous,deciduous,405731.6797005632,491759.4847479701,manual
4497,1637,deciduous,d13_6,405749.6599633076,491727.05468529527,auto
4346,1856,deciduous,d13_6,405724.46944679617,491690.43317809794,auto
4272,2058,deciduous,d13_6,405712.1917160595,491656.7752610785,auto
4193,2290,deciduous,d13_6,405699.06724527205,491618.2485887669,auto
4190,2353,deciduous,d13_6,405698.43219023396,491607.66433813184,auto
4190,2353,deciduous,d13_6,405698.43219023396,491607.66433813184,auto
4160,2447,deciduous,d13_6,405693.5634349418,491591.99964719196,auto
3980,2306,deciduous,d13_6,405663.5041631383,491615.49668360176,auto
3901,2265,deciduous,d13_6,405650.3796923508,491622.2706040082,auto
5190,2258,deciduous,d13_6,405865.23998024245,491623.5407140844,auto
5550,2034,deciduous,d13_6,405925.14683883684,491660.7972763198,auto
5704,1978,deciduous,d13_6,405950.7607253737,491670.11141687864,auto
5800,1943,deciduous,d13_6,405966.84878633893,491676.0385972343,auto
4553,3107,deciduous,d13_6,405758.9741038665,491481.92344058736,auto
4512,3228,deciduous,d13_6,405752.20018346,491461.8133643808,auto
4366,3222,deciduous,d13_6,405727.8564069994,491462.8717894443,auto
4070,3048,deciduous,d13_6,405678.5337990401,491491.87263618433,auto
4163,3097,deciduous,d13_6,405693.9868049672,491483.616920689,auto
4263,3092,deciduous,d13_6,405710.7099209706,491484.46366073977,auto
3948,2966,deciduous,d13_6,405658.2120378207,491505.4204769972,auto
3886,2928,deciduous,d13_6,405647.8394721984,491511.7710273782,auto
3948,2966,deciduous,d13_6,405658.2120378207,491505.4204769972,auto
3510,2739,deciduous,d13_6,405585.18070843886,491543.3120942707,auto
3510,2739,deciduous,d13_6,405585.18070843886,491543.3120942707,auto
3659,2782,deciduous,d13_6,405609.9478549249,491536.1148038389,auto
3505,3092,deciduous,d13_6,405584.33396838803,491484.46366073977,auto
3586,3153,deciduous,d13_6,405597.8818092009,491474.3027801301,auto
3671,3270,deciduous,d13_6,405612.0647050519,491454.82775896165,auto
4360,3553,deciduous,d13_6,405726.7979819359,491407.6220011293,auto
4412,3629,deciduous,d13_6,405735.47706745664,491394.92090036726,auto
3915,3589,deciduous,d13_6,405652.70822749054,491401.6948207737,auto
3867,3671,deciduous,d13_6,405644.6641970079,491387.9352949481,auto
3828,3825,deciduous,d13_6,405638.10196161416,491362.32140841126,auto
3806,3900,deciduous,d13_6,405634.50331639824,491349.8319926619,auto
4414,3806,deciduous,d13_6,405735.90043748205,491365.49668360176,auto
4478,3863,deciduous,d13_6,405746.4846881171,491355.97085803025,auto
4460,3964,deciduous,d13_6,405743.5210979393,491339.2477420268,auto
4439,4047,deciduous,d13_6,405739.9224527234,491325.2765311886,auto
4680,3828,deciduous,deciduous,405780.28885747486,491361.7611899342,manual
4668,3908,deciduous,d13_6,405778.2374400223,491348.5618825857,auto
4668,3908,deciduous,d13_6,405778.2374400223,491348.5618825857,auto
4740,3998,deciduous,d13_6,405790.0918007335,491333.5322466839,auto
5433,4339,deciduous,d13_6,405905.6718176683,491276.58897826733,auto
5243,4258,deciduous,d13_6,405873.9190657632,491290.13681908016,auto
5549,4332,deciduous,d13_6,405924.93515382416,491277.8590883435,auto
5624,4385,deciduous,d13_6,405937.4245695735,491268.9683178101,auto
5709,4453,deciduous,d13_6,405951.60746542446,491257.7490121369,auto
5848,4439,deciduous,d13_6,405974.8928168216,491260.0775472766,auto
5779,4519,deciduous,d13_6,405963.250141123,491246.7413914765,auto
5855,4568,deciduous,d13_6,405975.9512418851,491238.4856759811,auto
5650,4957,deciduous,d13_6,405941.8699548402,491173.71006209456,auto
5618,5055,deciduous,d13_6,405936.5778295227,491157.4103161166,auto
5578,5165,deciduous,d13_6,405929.80390911625,491138.9937200116,auto
5511,5467,deciduous,d13_6,405918.5846034431,491088.6126869887,auto
5425,5650,deciduous,d13_6,405904.40170759213,491058.1300451598,auto
5425,5650,deciduous,d13_6,405904.40170759213,491058.1300451598,auto
5377,5488,deciduous,d13_6,405896.3576771095,491085.22572678555,auto
5221,5414,deciduous,d13_6,405870.3204205473,491097.5034575222,auto
5397,5745,deciduous,d13_6,405899.7446373127,491042.2536692072,auto
5350,5894,deciduous,d13_6,405891.91229184275,491017.4865227212,auto
5188,5822,deciduous,d13_6,405864.81661021704,491029.55256844516,auto
5088,5792,deciduous,d13_6,405848.09349421365,491034.42132373725,auto
5057,5735,deciduous,d13_6,405843.0130539088,491043.9471493088,auto
4779,5537,deciduous,d13_6,405796.65403612726,491076.97001129016,auto
4891,5363,deciduous,d13_6,405815.282317245,491105.97085803025,auto
4684,5236,deciduous,d13_6,405780.7776601747,491127.1393593003,auto
4585,5173,deciduous,d13_6,405764.266229184,491137.7236099354,auto
4548,5432,deciduous,d13_6,405758.12736381567,491094.53986734437,auto
4593,5414,deciduous,d13_6,405765.7480242729,491097.5034575222,auto
4548,5432,deciduous,d13_6,405758.12736381567,491094.53986734437,auto
4455,5461,deciduous,d13_6,405742.67435788846,491089.6711120522,auto
4543,5533,deciduous,d13_6,405757.28062376485,491077.60506632825,auto
4464,5546,deciduous,d13_6,405744.1561529774,491075.48821620125,auto
4375,5799,deciduous,d13_6,405729.3382020883,491033.36289867375,auto
4249,5329,deciduous,d13_6,405708.38138583093,491111.68635337317,auto
4249,5329,deciduous,d13_6,405708.38138583093,491111.68635337317,auto
4178,5296,deciduous,d13_6,405696.52702511963,491117.1901637034,auto
4232,5227,deciduous,d13_6,405705.4177956531,491128.6211543892,auto
4251,5160,deciduous,d13_6,405708.5930708436,491139.8404600624,auto
4281,5075,deciduous,d13_6,405713.67351114843,491154.02335591335,auto
4102,5000,deciduous,d13_6,405683.8259243576,491166.51277166273,auto
4154,4826,deciduous,d13_6,405692.5050098783,491195.51361840277,auto
4061,5209,deciduous,d13_6,405677.05200395116,491131.58474456705,auto
3983,5178,deciduous,d13_6,405663.9275331637,491136.8768698846,auto
3905,5121,deciduous,d13_6,405651.0147473889,491146.4026954561,auto
3870,5276,deciduous,d13_6,405645.0875670333,491120.5771239066,auto
3754,5229,deciduous,d13_6,405625.82423087745,491128.40946937655,auto
3685,5203,deciduous,d13_6,405614.3932401916,491132.64316963055,auto
3729,5093,deciduous,d13_6,405621.59053062345,491151.0597657356,auto
3622,5161,deciduous,d13_6,405603.80898955656,491139.6287750497,auto
3602,4949,deciduous,d13_6,405600.4220293533,491174.9801721708,auto
3662,5297,deciduous,d13_6,405610.582909963,491116.97847869067,auto
3683,5401,deciduous,d13_6,405613.9698701662,491099.6203076492,auto
3656,5483,deciduous,d13_6,405609.5244848995,491086.0724668363,auto
3656,5483,deciduous,d13_6,405609.5244848995,491086.0724668363,auto
3576,5701,deciduous,d13_6,405596.1883290993,491049.6626446517,auto
3576,5701,deciduous,d13_6,405596.1883290993,491049.6626446517,auto
3553,5767,deciduous,d13_6,405592.3779988707,491038.6550239913,auto
3516,5851,deciduous,d13_6,405586.23913350236,491024.683813153,auto
3174,5470,deciduous,d13_6,405529.08418007306,491088.1893169633,auto
3127,5598,deciduous,d13_6,405521.25183460314,491066.8091306805,auto
3093,5683,deciduous,d13_6,405515.7480242729,491052.62623482954,auto
2765,5582,deciduous,d13_6,405460.92160598334,491069.56103584566,auto
2650,5514,deciduous,d13_6,405441.8699548402,491080.7803415188,auto
2650,5514,deciduous,d13_6,405441.8699548402,491080.7803415188,auto
2650,5514,deciduous,d13_6,405441.8699548402,491080.7803415188,auto
2928,5256,deciduous,d13_6,405488.2289726218,491123.75239909714,auto
3160,5154,deciduous,d13_6,405526.7556449334,491140.89888512593,auto
3218,5127,deciduous,d13_6,405536.4931555176,491145.3442703926,auto
2185,5244,deciduous,d13_6,405364.3932401916,491125.86924922414,auto
2243,5258,deciduous,d13_6,405373.9190657632,491123.5407140844,auto
2345,5302,deciduous,d13_6,405391.065551792,491116.1317386399,auto
2345,5302,deciduous,d13_6,405391.065551792,491116.1317386399,auto
1856,5110,deciduous,d13_6,405309.56682190206,491148.09617555776,auto
1851,5047,deciduous,d13_6,405308.72008185124,491158.6804261928,auto
1638,5058,deciduous,d13_6,405273.15699971747,491156.7752610785,auto
1239,5353,deciduous,d13_6,405206.6879057293,491107.66433813184,auto
1014,5241,deciduous,d13_6,405169.2196584812,491126.29261924955,auto
1019,5409,deciduous,d13_6,405170.066398532,491098.35019757296,auto
1273,5579,deciduous,d13_6,405212.40340107225,491069.984405871,auto
1280,5712,deciduous,d13_6,405213.46182613575,491047.7574795374,auto
1566,5436,deciduous,d13_6,405261.0909539935,491093.9048123063,auto
1807,5638,deciduous,d13_6,405301.3111064067,491060.2468952868,auto
1931,5723,deciduous,d13_6,405322.0562376514,491046.0639994358,auto
2002,5763,deciduous,d13_6,405333.9105983627,491039.2900790294,auto
858,5777,deciduous,d13_6,405143.182401919,491036.96154388966,auto
494,5608,deciduous,d13_6,405082.42880327377,491065.1156505789,auto
246,5265,deciduous,d13_6,405041.150225797,491122.2706040082,auto
184,5175,deciduous,d13_6,405030.7776601747,491137.30023990996,auto
107,5086,deciduous,d13_6,405018.07655941264,491152.1181907991,auto
636,5155,deciduous,d13_6,405106.1375246963,491140.6872001132,auto
797,5215,deciduous,d13_6,405133.02152130933,491130.7380045162,auto
805,5025,deciduous,d13_6,405134.2916313855,491162.27907140873,auto
534,4761,deciduous,d13_6,405089.2027236802,491206.30955405056,auto
877,4383,deciduous,deciduous,405146.50894722843,491269.3296861885,manual
356,4249,deciduous,d13_6,405059.56682190206,491291.61861416907,auto
1552,4920,deciduous,d13_6,405258.76241885376,491179.84892746294,auto
148,3519,deciduous,d13_6,405024.85047981906,491413.33749647223,auto
148,3519,deciduous,d13_6,405024.85047981906,491413.33749647223,auto
401,3522,deciduous,d13_6,405066.97579734656,491412.9141264468,auto
454,3501,deciduous,d13_6,405075.86656788003,491416.30108665006,auto
454,3501,deciduous,d13_6,405075.86656788003,491416.30108665006,auto
552,3457,deciduous,d13_6,405092.166313858,491423.71006209456,auto
619,3430,deciduous,d13_6,405103.38561953115,491428.1554473613,auto
1005,3354,deciduous,d13_6,405167.7378633923,491440.85654812335,auto
974,3892,deciduous,d13_6,405162.4457380748,491351.1021027381,auto
1022,3908,deciduous,d13_6,405170.4897685574,491348.5618825857,auto
1022,3908,deciduous,d13_6,405170.4897685574,491348.5618825857,auto
1145,3938,deciduous,d13_6,405191.0232147894,491343.48144228087,auto
1268,4003,deciduous,d13_6,405211.55666102143,491332.68550663313,auto
1385,4071,deciduous,d13_6,405231.0316821899,491321.25451594725,auto
1385,4071,deciduous,d13_6,405231.0316821899,491321.25451594725,auto
1445,4093,deciduous,d13_6,405240.9808777869,491317.65587073134,auto
